key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1171.4366313103637,1171.4366313103637,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
text-embedding-004,text-embedding-004,1125.157912103772,1125.157912103772,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
GritLM/GritLM-7B,GritLM/GritLM-7B,1083.5704866881938,1083.5704866881938,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1034.9894637729208,1034.9894637729208,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1026.7589193730807,1026.7589193730807,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1007.0495790866884,1007.0495790866884,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
text-embedding-3-large,text-embedding-3-large,989.2553230842472,989.2553230842472,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,980.5351380063257,980.5351380063257,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
voyage-multilingual-2,voyage-multilingual-2,966.4201981951632,966.4201981951632,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,962.8041131094279,962.8041131094279,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,885.5912039405207,885.5912039405207,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,883.3528874132622,883.3528874132622,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
embed-english-v3.0,embed-english-v3.0,883.0781439160336,883.0781439160336,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
