key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
text-embedding-004,text-embedding-004,1101.0262419874678,1101.0262419874678,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
GritLM/GritLM-7B,GritLM/GritLM-7B,1100.347125672195,1100.347125672195,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,1064.6022594504718,1064.6022594504718,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1062.6811935428195,1062.6811935428195,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1057.6611619752623,1057.6611619752623,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
voyage-multilingual-2,voyage-multilingual-2,1047.010830992045,1047.010830992045,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1043.8925163588888,1043.8925163588888,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1041.7700173581156,1041.7700173581156,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1041.4939410966865,1041.4939410966865,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
text-embedding-3-large,text-embedding-3-large,1034.8665293158767,1034.8665293158767,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
embed-english-v3.0,embed-english-v3.0,1021.3290033205535,1021.3290033205535,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,979.2984996828299,979.2984996828299,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
BM25,BM25,929.6866685267612,929.6866685267612,,42.4,,,MIT,,https://github.com/xhluca/bm25s
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,771.7326811410697,771.7326811410697,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,702.6013295789567,702.6013295789567,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
