2024-07-29 04:43:46 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 04:44:25 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 04:45:01 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 04:45:46 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 04:46:08 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 04:46:29 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 04:46:53 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 14:19:53 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 14:22:51 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 14:23:07 | INFO | gradio_sts | bothbadvote (named). ip: 
2024-07-29 14:23:19 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 14:23:37 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 14:24:06 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 14:25:31 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 14:26:05 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 14:26:37 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 14:33:59 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 15:22:01 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 15:35:23 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 15:35:34 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 15:35:52 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 15:36:08 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 15:36:42 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 15:42:40 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 15:53:50 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 16:31:34 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:31:49 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:32:39 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:32:52 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:33:01 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:33:11 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 16:33:20 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:34:00 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:42:02 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:42:13 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:42:24 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:42:46 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:42:56 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:44:21 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:45:01 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:45:11 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:45:38 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:45:53 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 16:47:22 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:47:45 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:48:18 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:48:37 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:48:51 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 16:49:11 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:49:53 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:50:09 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:50:26 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-29 16:50:44 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:51:59 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 16:57:13 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 17:00:04 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 17:00:15 | INFO | gradio_sts | leftvote (named). ip: 
2024-07-29 17:00:29 | INFO | gradio_sts | tievote (named). ip: 
2024-07-29 17:00:49 | INFO | gradio_sts | rightvote (named). ip: 
2024-07-30 09:38:49 | INFO | gradio_sts | tievote (named). ip: 
2024-07-30 14:21:30 | INFO | gradio_sts | tievote (named). ip: 
2024-07-30 19:18:57 | INFO | gradio_sts | bothbadvote (named). ip: 
2024-07-30 20:49:27 | INFO | gradio_sts | leftvote (named). ip: 
