key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
GritLM/GritLM-7B,GritLM/GritLM-7B,1092.6275201312126,1092.6275201312126,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1076.244934622977,1076.244934622977,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
text-embedding-004,text-embedding-004,1072.7324873257112,1072.7324873257112,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
voyage-multilingual-2,voyage-multilingual-2,1056.1091723297136,1056.1091723297136,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1049.0050996532457,1049.0050996532457,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1045.9285448411351,1045.9285448411351,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1045.8131381945318,1045.8131381945318,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
text-embedding-3-large,text-embedding-3-large,1045.2200685764506,1045.2200685764506,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,1037.453164660842,1037.453164660842,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1032.0055416328885,1032.0055416328885,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
embed-english-v3.0,embed-english-v3.0,1008.1339280719807,1008.1339280719807,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,1007.1123459477242,1007.1123459477242,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
BM25,BM25,930.6470862218744,930.6470862218744,,42.4,,,MIT,,https://github.com/xhluca/bm25s
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,763.6933173855311,763.6933173855311,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,737.27365040418,737.27365040418,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
