key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
GritLM/GritLM-7B,GritLM/GritLM-7B,1134.840030168205,1134.840030168205,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
text-embedding-004,text-embedding-004,1112.4107713284918,1112.4107713284918,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1110.8331460136726,1110.8331460136726,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1100.4318928498828,1100.4318928498828,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1088.7159587084611,1088.7159587084611,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1084.3844561072187,1084.3844561072187,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1080.3893853654513,1080.3893853654513,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
text-embedding-3-large,text-embedding-3-large,1067.4481900979792,1067.4481900979792,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
voyage-multilingual-2,voyage-multilingual-2,1051.02281129248,1051.02281129248,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
embed-english-v3.0,embed-english-v3.0,1050.5953268451237,1050.5953268451237,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,992.4545985916101,992.4545985916101,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
BM25,BM25,970.1490509499938,970.1490509499938,,42.4,,,MIT,,https://github.com/xhluca/bm25s
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,747.9166901500215,747.9166901500215,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,740.1175910583345,740.1175910583345,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,668.2901004730746,668.2901004730746,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
