key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
GritLM/GritLM-7B,GritLM/GritLM-7B,1167.976102245518,1167.976102245518,66.76,57.41,50.61,83.35,Apache-2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1114.0328438670272,1114.0328438670272,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
voyage-multilingual-2,voyage-multilingual-2,1091.972456406898,1091.972456406898,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1088.0298850149077,1088.0298850149077,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
text-embedding-004,text-embedding-004,1080.356534133012,1080.356534133012,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1050.3746509217376,1050.3746509217376,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1046.1388991572446,1046.1388991572446,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1045.3377955960193,1045.3377955960193,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,1028.9206478034484,1028.9206478034484,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
text-embedding-3-large,text-embedding-3-large,1007.2116495704298,1007.2116495704298,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
embed-english-v3.0,embed-english-v3.0,875.9282659851904,875.9282659851904,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,873.7164987111537,873.7164987111537,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,842.4018529637744,842.4018529637744,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,687.601917623639,687.601917623639,56.26,41.95,42.35,78.9,Apache-2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
