key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1161.368838146516,1161.368838146516,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
text-embedding-3-large,text-embedding-3-large,1148.2449580979899,1148.2449580979899,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
text-embedding-004,text-embedding-004,1125.4623099155776,1125.4623099155776,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1125.3718615208934,1125.3718615208934,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,1040.9169937576605,1040.9169937576605,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
GritLM/GritLM-7B,GritLM/GritLM-7B,1016.7529573748715,1016.7529573748715,66.76,57.41,50.61,83.35,Apache-2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,954.0041141808757,954.0041141808757,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
embed-english-v3.0,embed-english-v3.0,947.5362271261631,947.5362271261631,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
voyage-multilingual-2,voyage-multilingual-2,931.4576402809772,931.4576402809772,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,930.8169257384236,930.8169257384236,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,867.5865114573737,867.5865114573737,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,830.9044443545179,830.9044443545179,56.26,41.95,42.35,78.9,Apache-2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,804.61128061421,804.61128061421,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,794.5946033651003,794.5946033651003,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
