key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
GritLM/GritLM-7B,GritLM/GritLM-7B,1089.79227286234,1089.79227286234,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
text-embedding-004,text-embedding-004,1086.8292830434402,1086.8292830434402,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1066.3546801071082,1066.3546801071082,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,1064.8863652596312,1064.8863652596312,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1055.1945416075705,1055.1945416075705,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
voyage-multilingual-2,voyage-multilingual-2,1044.6299309576125,1044.6299309576125,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1043.6233649264002,1043.6233649264002,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1042.9782666850153,1042.9782666850153,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1042.5114316849997,1042.5114316849997,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
text-embedding-3-large,text-embedding-3-large,1035.1962315741728,1035.1962315741728,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,1014.1941981570785,1014.1941981570785,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
embed-english-v3.0,embed-english-v3.0,1013.9768543732547,1013.9768543732547,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
BM25,BM25,934.9956803227619,934.9956803227619,,42.4,,,MIT,,https://github.com/xhluca/bm25s
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,769.9109930687185,769.9109930687185,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,694.9259053698968,694.9259053698968,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
