key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
text-embedding-3-large,text-embedding-3-large,1107.412435778415,1107.412435778415,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1104.0672963263132,1104.0672963263132,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,1085.3611330618464,1085.3611330618464,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1072.9870098918868,1072.9870098918868,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
voyage-multilingual-2,voyage-multilingual-2,1020.5022826897564,1020.5022826897564,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
GritLM/GritLM-7B,GritLM/GritLM-7B,1012.2715391222314,1012.2715391222314,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1002.38429566642,1002.38429566642,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,979.848297755467,979.848297755467,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
text-embedding-004,text-embedding-004,945.7737252879546,945.7737252879546,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,941.2128407065395,941.2128407065395,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,932.7143847872004,932.7143847872004,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
embed-english-v3.0,embed-english-v3.0,902.2430447417969,902.2430447417969,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,896.3296350020399,896.3296350020399,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,729.3688935627546,729.3688935627546,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
